Ano_do_Obito;Regiao_Norte;Regiao_Nordeste;Regiao_Sudeste;Regiao_Sul;Regiao_Centro_Oeste;Total
2000;373;1136;2513;2033;725;6780
2001;433;1429;3011;2164;701;7738
2002;390;1541;2942;2050;803;7726
2003;434;1620;3009;2032;766;7861
2004;450;1650;2987;2143;787;8017
2005;476;1894;3207;2199;774;8550
2006;476;1961;3306;2128;768;8639
2007;543;2167;3221;2187;750;8868
2008;619;2199;3397;2251;862;9328
2009;592;2101;3562;2277;842;9374
2010;622;2126;3730;2154;816;9448
2011;692;2291;3905;2153;811;9852
2012;693;2338;3995;2361;934;10321
2013;758;2492;3962;2363;958;10533
2014;703;2396;4276;2324;954;10653
2015;875;2537;4323;2494;949;11178
2016;824;2719;4245;2606;1039;11433
2017;896;2980;4640;2860;1119;12495
2018;986;2990;4675;2896;1186;12733
2019;1054;3082;4914;3177;1293;13520
2020;1120;3234;5045;3135;1301;13835
Total_dos_anos;14009;46883;78865;49987;19138;208882
 ;;;;;;
